Армфельт Архипп Иосифович
Гладков Аскольд Адриянович
Ермолинский Пимен Агапович
Скрипицин Артемон Анастасьевич
Ромодановский Богдан Болеславович
Петров Эммануил Фомич
Головинский Кузьма Феодорович
Бельский Клавдий Меркулович
Вознов Полукарп Патрикеевич
Баранов Кузьма Базильевич
Баранцов Аркадий Эрнестович
Мишков Богуслав Эмильевич
Яблочков Анастасий Осипович
Епанчин Владлен Ираклиевич
Болычевцев Ян Маврович
Мозырин Нафанаил Арефьевич
Грызлов Власий Игоревич
Левашов Евграф Устинович
Полторацкий Амандин Титович
Сокирко Мелхиседек Макарович
Булгаков Марьян Мануйлович
Стогов Аэтий Климентьевич
Владычин Август Корнилиевич
Есипович Игорь Лукич
Жуковский Нонн Кирилович
Юрлов Иоанн Мефодиевич
Башкеев Авель Порфирьевич
Иловайский Домн Северианович
Лавров Фронтасий Минаевич
Галицкий Харсей Хрисанфович
Жук Агриппин Базильевич
Урусов Гектор Мстиславович
Бурков Африкан Викентьевич
Малышев Олимпий Христианович
Вишневецкий Харсей Афиногенович
Пушкин Нестор Сократович
Алёнкин Флегонт Варламович
Одоевский Козьма Самойлович
Бухонов Венедикт Платонович
Сонин Амос Зиновьевич
Скорняков Вит Потапович
Шафонский Севастиан Евлампиевич
Домейко Далмат Прович
Уруский Гай Созонтович
Мельгунов Гиацинт Меркулович
Ананьин Мавр Егорьевич
Шишов Андриан Ардальонович
Базаров Захар Ипполитович
Благово Мариан Лаврович
Шишкин Ероним Никонович
Карелов Харлампий Казимирович
Вердеревский Бажен Милославович
Виноградский Лаврентий Силич
Каверин Августин Архиппович
Козакевич Максимилиан Алексиевич
Лизунов Альберт Валентинович
Виноградский Самуил Логгинович
Неплюев Исмаил Викторович
Франк Иоанникий Родионович
Рожнов Варфоломей Логгинович
Вельтман Гай Наумович
Лабунский Руфин Исаакович
